subscription_id,customer_id,start_date,end_date,status,cancellation_reason,renewal_count,monthly_fee
146,12027,2020-02-11,2022-03-05,cancelled,Switched to competitor,-1,12.99
147,8165,2022-08-13,2025-03-02,active,,0,49.99
148,17625,2021-01-27,2023-10-25,churned,Other,13,49.99
149,18203,2024-06-26,,active,,11,19.99
150,11361,2021-10-09,,active,,-1,19.99
151,9683,2022-10-11,,active,,-1,12.99
152,18975,04-03-2020,,active,,3,9.99
153,17310,2021-06-28,,active,,1,12.99
154,1377,2021-05-01,2023-11-07,cancelled,Other,11,9.99
155,2714,2022-10-05,2022-12-16,Canceled,N/A,1,19.99
156,11246,2023-02-05,,active,,14,12.99
157,1143,01-01-2020,2022-02-10,active,,7,12.99
158,6472,2024-03-10,06-12-2025,active,,14,49.99
159,22,06-09-2022,,active,,3,12.99
160,11524,31-10-2021,2022-04-29,churned,,9,49.99
161,4615,30-05-2024,11-10-2024,cancelled,,13,24.99
162,1831,13-07-2020,,active,,5,9.99
163,10209,01-02-2020,2022-03-05,cancelled,,14,19.99
164,19597,2022-08-02,02-10-2024,churned,Switched to competitor,10,9.99 USD
165,6510,2024-08-14,28-12-2026,churned,Switched to competitor,12,9.99
166,16321,2023-05-08,09-02-2024,active,,12,9.99
167,7046,11-09-2021,2023-06-11,cancelled,,6,24.99
168,5763,2021-07-12,,active,,7,12.99
169,9476,2024-02-29,2026-09-22,active,,13,12.99
170,5464,2023-10-31,,active,,9,12.99
171,7913,2021-09-09,24-03-2024,cancelled,Lack of use,4,19.99
172,1951,2022-01-22,,active,,10,49.99
173,282,14-07-2020,10-09-2020,cancelled,Lack of use,11,9.99
174,18000,2024-04-24,22-10-2025,churned,Lack of use,11,49.99
175,1145,2024-04-15,,active,,1,49.99
176,4629,2022-03-15,2024-06-06,cancelled,,0,12.99
177,8491,2021-06-12,,active,,12,19.99 USD
178,13919,2021-10-17,,active,,9,49.99
179,18113,2024-12-30,,active,,0,12.99
180,1405,2021-10-08,17-02-2024,churned,N/A,13,49.99
181,2176,23-11-2024,28-10-2027,cancelled,Technical issues,9,9.99
182,1662,2021-08-26,2023-07-06,churned,Other,10,49.99
183,10638,2022-06-20,2023-05-15,cancelled,Lack of use,5,49.99
184,7997,2022-11-09,,active,,7,49.99
185,18703,2022-10-31,,active,,3,49.99
186,7332,2023-10-13,2025-03-28,churned,,7,9.99
187,12875,2024-02-21,,active,,9,12.99
188,15755,03-09-2023,2024-08-14,cancelled,N/A,-1,19.99 USD
189,1875,2022-08-18,18-08-2024,churned,N/A,14,9.99
190,7676,2022-03-17,,active,,10,9.99
191,5326,19-03-2024,,active,,5,12.99
192,615,2024-01-02,2026-11-10,churned,Too expensive,11,9.99
193,19841,2024-01-17,2025-02-07,active,,7,12.99
194,3121,2024-08-12,,active,,1,19.99
195,10413,21-09-2023,2025-06-17,churned,Lack of use,14,49.99
196,3013,2020-07-24,27-11-2021,active,,6,19.99
197,9098,2021-11-01,,active,,11,9.99
198,8848,2023-10-12,2024-01-19,churned,Switched to competitor,14,19.99
199,3258,2020-06-03,,active,,2,19.99
200,5989,2020-08-10,2022-02-04,churned,Other,7,49.99
201,13348,2024-06-04,,active,,4,19.99
202,4523,10-04-2024,,active,,11,24.99
203,1832,2021-06-04,2022-04-25,cancelled,Lack of use,1,49.99 USD
204,9008,2021-11-15,2023-04-26,cancelled,N/A,8,24.99
205,1452,2020-01-22,2021-06-16,churned,Technical issues,4,19.99
206,3333,2021-05-04,,active,,13,12.99
207,18525,06-12-2021,,active,,5,24.99
208,13728,31-10-2020,,active,,10,9.99
209,899,2022-03-20,29-07-2023,active,,5,19.99
210,14490,2023-09-23,,active,,4,12.99
211,14092,2021-07-28,2023-05-12,Canceled,Lack of use,8,9.99
212,6031,2021-08-08,,active,,-1,19.99
213,14633,2022-09-16,,active,,4,49.99
214,13237,2024-03-31,,active,,0,49.99
215,18341,2024-05-14,2026-06-27,cancelled,,8,9.99
216,8758,2022-08-30,,active,,2,24.99
217,13754,28-02-2023,,active,,11,9.99
218,5905,2020-10-11,,active,,7,12.99
219,6241,2023-01-04,,active,,12,9.99
220,17567,2024-06-21,,active,,11,12.99
221,1005,2020-02-03,06-02-2022,cancelled,N/A,7,49.99
222,7802,26-10-2023,02-11-2024,cancelled,Other,2,12.99
223,375,2024-03-03,2024-05-16,churned,Lack of use,3,9.99
224,10259,2023-08-24,,active,,11,49.99
225,19251,02-04-2022,2024-11-03,cancelled,Other,7,12.99
226,579,2020-05-15,2021-05-04,cancelled,Technical issues,14,19.99 USD
227,10199,2024-07-25,,active,,3,24.99
228,11772,2021-11-30,2023-11-21,cancelled,,8,12.99
229,19998,03-11-2020,,active,,10,19.99
230,8265,2020-05-12,,active,,5,24.99
231,13130,2021-01-20,,active,,9,24.99
232,11360,2023-06-16,,active,,13,49.99 USD
233,8264,23-10-2021,,active,,9,24.99
234,17664,2023-07-21,,active,,8,19.99
235,8588,2022-05-07,,active,,5,49.99
236,18365,2022-04-10,2024-07-24,cancelled,Technical issues,14,19.99 USD
237,18049,2024-09-24,11-11-2024,cancelled,Technical issues,3,49.99
238,16172,2020-07-23,2021-05-08,active,,11,9.99
239,1297,2024-09-16,2025-07-02,churned,Technical issues,3,12.99
240,11609,23-10-2020,,active,,7,19.99
241,8800,2022-12-24,,active,,6,9.99
242,14991,2023-05-23,,active,,13,19.99
243,4861,2020-04-30,,active,,7,9.99
244,5623,21-06-2020,04-10-2021,churned,Lack of use,9,49.99
245,19681,2021-01-25,2022-06-04,churned,N/A,1,12.99
246,526,2021-12-23,31-08-2022,churned,,11,49.99
247,11314,2024-07-02,,active,,-1,12.99
248,8388,2021-11-07,2024-01-08,churned,Lack of use,6,12.99
249,491,2020-08-06,2022-01-30,cancelled,Technical issues,6,24.99
250,11599,2023-10-05,06-09-2024,churned,Switched to competitor,-1,19.99
251,3497,2023-09-30,,active,,2,24.99
252,16162,2024-04-08,2027-03-05,churned,Technical issues,12,49.99
253,3567,2024-05-07,27-09-2025,cancelled,,14,19.99
254,6723,2022-05-25,2024-02-07,churned,,1,19.99
255,854,2021-11-17,2023-11-07,cancelled,Too expensive,5,49.99
256,9545,2021-01-07,,active,,10,12.99
257,16736,2023-01-08,2023-08-01,churned,N/A,1,9.99
258,9848,2021-11-07,2023-12-31,active,,14,49.99
259,12472,2024-12-19,2026-09-08,active,,2,9.99
260,19373,2024-06-29,,active,,1,24.99
261,3500,2024-11-25,08-07-2025,active,,9,9.99
262,19084,2020-04-28,2021-09-22,churned,Technical issues,1,12.99
263,4670,07-01-2021,24-11-2022,cancelled,Switched to competitor,11,24.99
264,14810,2020-03-02,,active,,8,12.99
265,3191,13-09-2023,2026-05-07,cancelled,,13,12.99
266,19171,2022-08-08,2024-10-22,churned,Switched to competitor,14,12.99
267,6891,2022-06-27,06-10-2024,cancelled,,13,24.99
268,12384,2020-05-21,2021-12-11,churned,Switched to competitor,4,19.99
269,15941,2022-09-10,23-02-2023,active,,2,12.99
270,743,2020-03-09,,active,,7,19.99
271,7346,2024-11-22,2026-09-16,cancelled,N/A,5,49.99
272,12316,18-07-2023,,active,,6,49.99 USD
273,5547,29-04-2022,,active,,0,24.99
274,3043,27-01-2024,,active,,7,12.99
275,14925,23-04-2021,,active,,10,9.99
276,7357,2024-06-11,2025-05-29,churned,Too expensive,13,49.99
277,15673,2022-12-31,,active,,4,24.99
278,14397,26-08-2024,,active,,2,19.99 USD
279,4072,2020-01-24,2023-01-12,active,,0,49.99
280,15758,11-10-2023,,active,,14,19.99 USD
281,4695,08-03-2023,2024-04-08,cancelled,,11,49.99
282,8413,13-05-2023,,active,,0,12.99
283,15869,2024-03-12,2024-04-25,churned,Other,13,9.99
284,17019,2021-04-08,2022-08-30,churned,Technical issues,11,24.99
285,15918,26-09-2020,,active,,4,49.99
286,8804,2022-04-06,2025-01-18,cancelled,Switched to competitor,2,9.99
287,2517,2020-12-03,,active,,4,12.99
288,14780,2024-05-05,,active,,9,24.99 USD
289,3331,14-02-2024,12-02-2025,cancelled,,-1,9.99
290,2730,2020-07-11,,active,,1,19.99
291,2178,2021-03-03,,active,,8,9.99
292,13829,2023-01-14,,active,,12,9.99
293,2070,2024-05-14,,active,,14,24.99
294,2183,2020-10-06,,active,,2,24.99
295,19991,2020-11-24,2020-10-04,churned,N/A,1,24.99
296,12323,19-07-2023,,active,,5,9.99
297,11846,2022-05-28,2025-05-03,churned,N/A,-1,19.99
298,14008,2022-10-10,2024-07-20,active,,7,24.99
299,12320,2020-08-11,2022-11-04,cancelled,Lack of use,14,9.99
300,16666,12-02-2023,,active,,10,24.99
301,1230,2021-12-08,,active,,12,12.99
302,19593,19-09-2020,2021-10-09,active,,13,19.99
303,3697,2021-05-20,2022-09-14,cancelled,Other,4,49.99
304,9570,05-07-2023,2024-08-30,churned,Technical issues,8,49.99
305,15989,2020-12-25,,active,,3,24.99
306,6877,2023-10-25,2026-06-12,churned,Switched to competitor,12,12.99
307,18153,2023-01-23,23-01-2024,active,,-1,24.99
308,7248,2020-04-18,2021-02-22,Canceled,Too expensive,3,12.99
309,16475,2020-01-04,,active,,13,24.99
310,5329,2020-09-19,,active,,1,49.99
311,311,29-08-2021,,active,,12,12.99
312,4096,15-01-2024,,active,,5,49.99
313,15637,2020-09-24,2021-09-26,active,,-1,49.99
314,16997,09-07-2024,2026-09-10,active,,5,24.99 USD
315,7405,2021-05-31,29-07-2023,churned,Switched to competitor,14,12.99 USD
316,11526,2023-07-01,12-11-2024,churned,,7,49.99
317,15317,05-09-2022,,active,,6,24.99
318,6787,23-03-2021,2023-10-11,churned,Technical issues,11,24.99
319,16198,2020-07-31,2021-10-31,Canceled,Lack of use,2,24.99
320,8113,19-05-2020,2022-01-01,Canceled,Lack of use,5,19.99
321,5563,09-02-2020,,active,,7,9.99
322,10971,2023-10-10,,active,,3,24.99
323,15968,02-07-2022,2022-08-02,active,,9,49.99
324,9135,2021-10-25,,active,,3,9.99
325,778,2021-04-15,,active,,9,49.99
326,4685,2021-12-15,,active,,2,12.99 USD
327,8588,2021-04-23,,active,,1,24.99
328,7687,2022-10-20,2023-07-30,churned,,4,49.99
329,7159,01-08-2021,,active,,9,9.99
330,4441,2022-09-23,,active,,7,12.99
331,18742,23-07-2024,,active,,0,19.99
332,17061,25-04-2021,,active,,3,19.99
333,7007,2023-08-30,22-08-2026,churned,Technical issues,13,49.99
334,8330,13-07-2021,26-11-2023,Canceled,,-1,24.99
335,17484,2022-01-18,2023-05-06,cancelled,,9,49.99
336,10398,2021-06-24,2023-08-26,churned,Technical issues,10,12.99
337,16162,10-01-2024,2026-08-04,active,,3,9.99
338,8544,2020-03-28,,active,,-1,24.99
339,3238,22-07-2020,,active,,10,12.99
340,8936,2024-11-29,2025-06-12,cancelled,Technical issues,11,49.99
341,19377,2020-08-08,,active,,12,12.99
342,19275,2020-12-23,2022-07-13,cancelled,,5,24.99
343,11209,31-07-2023,,active,,10,24.99
344,2752,2022-09-05,,active,,2,24.99
345,19504,17-03-2024,,active,,3,19.99
346,14031,2022-06-08,,active,,8,24.99
347,17988,2022-05-27,2024-10-29,churned,N/A,2,9.99
348,6261,29-09-2022,,active,,7,9.99
349,13001,2020-02-08,,active,,-1,9.99
350,1481,18-11-2023,,active,,11,49.99
351,11051,2023-01-26,2024-03-18,churned,,9,9.99
352,5145,2020-08-03,2022-08-15,cancelled,Too expensive,11,49.99
353,17545,07-05-2022,2024-06-20,active,,7,49.99
354,11832,05-10-2023,12-05-2025,active,,4,12.99
355,1752,2024-04-25,,active,,2,49.99
356,8420,2022-08-03,2023-06-13,active,,6,24.99
357,15031,21-09-2020,,active,,1,49.99
358,7326,17-03-2020,15-05-2021,cancelled,Technical issues,7,12.99
359,589,2024-08-22,09-04-2026,cancelled,Other,1,24.99
360,5236,2021-05-11,,active,,1,49.99
361,10805,22-09-2023,2025-11-10,churned,Too expensive,-1,9.99
362,12562,06-08-2024,2026-05-04,cancelled,Too expensive,13,49.99
363,6377,2023-07-20,,active,,6,9.99
364,16049,2020-07-10,2021-01-28,active,,0,49.99
365,9935,24-02-2020,,active,,6,19.99
366,18039,2020-07-12,2021-05-03,churned,N/A,9,9.99 USD
367,834,06-03-2023,2025-03-05,churned,Switched to competitor,12,9.99
368,3479,2022-09-26,,active,,4,24.99
369,3638,2020-09-08,22-01-2022,churned,Lack of use,10,24.99
370,1208,2024-02-13,,active,,5,19.99
371,19798,2022-03-06,2024-10-05,churned,Other,8,49.99
372,19425,21-01-2021,12-08-2023,cancelled,Lack of use,10,24.99
373,19220,2023-05-31,31-05-2024,cancelled,Too expensive,3,49.99 USD
374,11234,2023-10-17,2026-01-09,cancelled,Other,10,9.99
375,15984,28-08-2023,2025-02-21,cancelled,Technical issues,1,24.99
376,14626,2020-04-07,,active,,-1,19.99
377,17456,17-09-2021,22-11-2023,cancelled,N/A,12,19.99
378,946,15-10-2023,2026-05-06,churned,Other,7,12.99
379,17419,2020-12-22,2022-05-14,cancelled,Too expensive,13,9.99
380,3665,2021-09-12,,active,,10,12.99
381,19074,2020-02-13,,active,,-1,12.99
382,8229,2023-08-29,2025-07-09,cancelled,,6,9.99
383,10317,02-11-2024,2027-04-29,active,,7,19.99
384,740,2023-05-14,,active,,4,24.99
385,17535,06-01-2023,2024-07-04,active,,8,24.99
386,4687,2020-08-17,02-08-2021,active,,9,9.99
387,15082,23-04-2022,2024-08-08,Canceled,Switched to competitor,0,9.99
388,17201,09-02-2021,05-05-2022,active,,9,24.99
389,11050,13-05-2022,2024-11-22,cancelled,,2,49.99
390,2248,2023-07-19,2025-03-11,churned,Too expensive,8,24.99
391,12614,2021-08-30,2022-03-19,Canceled,Switched to competitor,1,12.99
392,14882,2020-04-22,,active,,4,49.99
393,13521,2022-10-19,2024-08-05,churned,Too expensive,14,19.99
394,72,02-08-2021,2023-04-23,cancelled,Too expensive,8,9.99
395,10323,2024-07-22,2026-10-20,Canceled,Other,10,49.99
396,595,2022-06-27,,active,,12,49.99 USD
397,2433,2022-08-19,21-06-2025,cancelled,Too expensive,-1,12.99
398,4306,11-11-2022,,active,,0,19.99
399,3758,2023-12-22,31-01-2025,cancelled,Too expensive,11,12.99
400,13702,16-01-2024,2025-04-12,churned,Other,8,19.99
401,10024,13-11-2023,2024-10-24,active,,-1,12.99
402,11536,2023-10-06,,active,,4,19.99
403,13013,2020-10-19,,active,,4,12.99
404,10167,2024-07-25,,active,,13,19.99 USD
405,1039,02-11-2020,,active,,6,49.99
406,3244,19-02-2024,2026-06-03,active,,12,24.99
407,11296,2024-11-22,2027-06-28,active,,3,12.99
408,5442,2023-02-14,2025-06-13,churned,N/A,14,12.99
409,2774,19-06-2022,,active,,4,19.99
410,1725,19-07-2022,2024-04-03,churned,Lack of use,10,12.99
411,13091,2023-07-21,,active,,12,12.99
412,9709,2024-09-27,2025-05-04,cancelled,N/A,6,9.99
413,8466,30-03-2023,2024-09-30,churned,Technical issues,0,19.99
414,7570,22-12-2020,,active,,5,12.99
415,12575,2022-07-28,,active,,1,24.99
416,3726,2023-11-03,,active,,-1,12.99
417,8080,2020-04-30,05-12-2020,Canceled,,14,24.99
418,11910,05-03-2022,2024-01-16,cancelled,N/A,7,9.99
419,14891,16-08-2023,,active,,-1,24.99
420,3587,15-12-2020,2021-10-15,cancelled,,4,9.99 USD
421,5356,2024-05-19,,active,,7,19.99
422,16995,14-12-2023,2024-02-20,cancelled,Technical issues,5,19.99
423,13721,23-11-2024,2025-07-22,churned,Technical issues,7,24.99
424,9465,2022-10-29,,active,,4,24.99
425,3934,2024-04-21,28-06-2024,cancelled,Other,0,19.99
426,13770,2022-03-24,,active,,14,9.99
427,11238,2020-10-29,2023-10-27,cancelled,N/A,4,9.99
428,10898,2024-11-02,2027-09-22,churned,,12,12.99
429,1745,2021-08-15,2022-05-07,churned,Switched to competitor,8,12.99
430,1762,2020-07-23,,active,,6,24.99
431,2912,07-04-2024,,active,,6,19.99
432,3842,2023-04-15,,active,,12,24.99
433,10460,08-11-2020,,active,,5,19.99
434,3205,06-08-2022,2023-06-02,Canceled,Technical issues,0,49.99 USD
435,1237,2024-10-11,,active,,8,12.99
436,12709,25-09-2024,,active,,12,19.99
437,13255,2022-04-29,,active,,2,12.99
438,10210,2024-12-18,,active,,14,24.99
439,13245,09-06-2023,2025-10-27,cancelled,,1,19.99 USD
440,1100,2023-06-01,,active,,3,24.99
441,15375,2023-11-29,2025-02-03,cancelled,Lack of use,4,24.99
442,10734,2020-11-27,25-09-2021,active,,11,19.99
443,8061,2022-04-10,26-08-2024,cancelled,N/A,0,24.99
444,12138,26-04-2020,2021-07-26,churned,,11,12.99 USD
445,14317,2021-09-10,15-02-2023,cancelled,Too expensive,2,12.99
446,9755,2020-09-30,2021-08-22,cancelled,,1,19.99
447,11607,2021-07-05,,active,,11,12.99 USD
448,6842,2023-05-31,,active,,6,12.99
449,718,2023-08-12,2024-09-19,churned,,6,12.99
450,16072,15-08-2020,2022-08-29,churned,Technical issues,14,12.99
451,399,09-06-2023,2024-05-06,Canceled,Technical issues,6,9.99
452,14585,2022-12-25,,active,,-1,19.99
453,18328,19-12-2024,2027-05-26,churned,,11,9.99 USD
454,10996,2021-03-22,,active,,10,12.99
455,11466,2021-03-14,2022-03-26,churned,Too expensive,2,19.99
456,5560,2024-09-08,,active,,7,24.99
457,11093,2022-11-18,,active,,2,19.99
458,11958,2024-05-02,27-04-2026,churned,,0,24.99
459,2528,19-07-2023,2024-07-06,active,,7,12.99
460,19175,15-12-2020,07-05-2021,churned,Lack of use,8,19.99
461,4150,16-09-2023,,active,,8,12.99
462,5061,2021-01-30,2021-11-19,churned,Too expensive,7,49.99
463,16559,2022-02-17,2022-10-19,cancelled,,9,49.99
464,3809,2023-04-23,,active,,13,12.99
465,11209,2021-12-02,2022-12-22,cancelled,Technical issues,5,49.99
466,13875,2024-02-01,2026-02-16,cancelled,N/A,14,19.99 USD
467,9405,19-02-2023,2023-11-11,churned,,5,49.99
468,11698,2021-10-25,2024-03-20,active,,12,24.99
469,8938,18-01-2021,,active,,13,12.99
470,8458,26-02-2020,19-07-2022,cancelled,,12,49.99
471,9805,2023-06-20,2025-10-07,churned,,10,12.99
472,8585,2021-03-08,2023-01-10,Canceled,Switched to competitor,13,24.99
473,10237,2021-08-02,12-05-2022,churned,Technical issues,13,49.99
474,19297,2024-04-14,,active,,3,24.99 USD
475,13056,27-08-2023,,active,,7,24.99
476,19754,2022-08-16,,active,,6,12.99
477,5061,16-08-2024,24-11-2025,churned,N/A,6,12.99
478,4104,11-05-2023,2026-03-30,churned,,0,19.99
479,816,21-10-2020,07-03-2023,cancelled,Too expensive,2,24.99
480,12098,2021-04-29,2021-01-11,cancelled,Lack of use,9,12.99
481,17523,23-01-2023,2025-10-15,churned,Other,4,12.99
482,19737,2023-06-26,,active,,12,9.99
483,11634,2021-01-12,,active,,11,9.99
484,13331,2021-04-27,,active,,5,19.99
485,9422,22-07-2020,2022-05-18,churned,Lack of use,7,49.99
486,9130,2020-04-11,2020-10-30,cancelled,,3,12.99
487,4877,2023-07-12,23-11-2024,churned,Too expensive,6,9.99
488,9521,2024-09-10,,active,,6,49.99
489,13297,28-03-2022,2024-09-15,churned,Lack of use,14,19.99
490,8432,2022-07-10,12-09-2024,cancelled,,6,9.99
491,3476,2020-08-05,28-10-2021,cancelled,Other,5,19.99
492,17205,15-09-2024,,active,,-1,12.99
