customer_id,signup_date,age,country,marketing_channel,plan_type,is_student
94,2021-02-05,47,,linkedin,Basic,TRUE
95,2021-12-30,56,,insta_ads,enterprise,1
96,2024-04-28,64,,,,No
97,10/06/2020,30,PL,,Pro,0
98,20/07/2020,,PL,Insta,,0
99,22/09/2022,33,DE,,Pro,FALSE
100,26/09/2020,61,NL,instagram,Pro,1
101,2022-03-26,24,,,starter,
102,18/07/2023,65,NL,,Pro,FALSE
103,31/03/2021,,de,email,,0
104,25/01/2024,,de,,starter,1
105,2024-10-16,44,PL,LinkedIn Ads,,0
106,29/06/2023,62,,email,Pro,1
107,2022-10-13,,,Insta,basic,
108,2024-09-21,,ES,,enterprise,No
109,2020-10-22,52,Germany,instagram,Basic,TRUE
110,14/10/2024,32,,linkedin,Pro,
111,20/12/2021,45,de,google_ads,,Yes
112,2024-11-07,52,FR,linkedin,,1
113,03/12/2020,24,,UNKWN,BASIC,1
114,2022-05-28,,PL,,starter,
115,12/12/2022,67,ES,google_ads,pro,FALSE
116,02/03/2022,63,,UNKWN,,TRUE
117,2020-08-04,67,Germany,,,1
118,02/02/2022,68,,,Pro,1
119,06/07/2020,63,,referral,,Yes
120,2021-01-14,37,NL,UNKWN,BASIC,0
121,07/05/2021,49,PL,linkedin,BASIC,TRUE
122,30/11/2022,55,UK,,,TRUE
123,26/03/2023,,ES,referral,Pro,0
124,15/01/2020,57,DE,LinkedIn Ads,,
125,2020-03-05,49,de,,starter,1
126,2021-06-04,43,germany,,pro,TRUE
127,2023-09-29,,de,LinkedIn Ads,,
128,26/02/2023,56,Germany,Instagram Ads,enterprise,TRUE
129,09/10/2021,37,,,pro,Yes
130,04/02/2024,35,PL,Instagram Ads,enterprise,No
131,2022-12-22,67,NL,unknown,,0
132,2023-03-08,32,ES,,BASIC,0
133,02/03/2024,69,germany,Google,BASIC,Yes
134,15/08/2021,39,,,starter,No
135,2021-01-26,68,de,linkedin,,Yes
136,2024-08-25,39,IT,UNKWN,enterprise,
137,2021-02-22,,UK,instagram,pro,0
138,15/10/2020,38,,referral,pro,0
139,13/01/2021,19,IT,instagram,starter,1
140,2024-12-01,57,UK,,,Yes
141,2024-02-22,,NL,linkedin,BASIC,
142,18/08/2020,60,FR,Google,Basic,TRUE
143,2022-10-14,35,UK,Instagram Ads,starter,TRUE
144,10/02/2020,40,germany,,,FALSE
145,2022-11-17,30,UK,instagram,starter,1
146,2020-05-14,58,ES,Insta,,TRUE
147,19/07/2020,26,,,pro,
148,18/02/2022,66,de,email,,1
149,2022-07-18,24,de,,Basic,
150,2022-11-22,58,,,,
151,07/12/2022,,NL,email,enterprise,Yes
152,17/05/2021,18,IT,linkedin,Basic,TRUE
153,2021-02-10,19,IT,referral,pro,1
154,16/05/2024,21,,linkedin,Pro,Yes
155,2024-10-17,31,FR,,,0
156,2022-03-15,49,IT,Insta,,No
157,2020-04-08,53,NL,UNKWN,enterprise,FALSE
158,14/11/2021,19,UK,,basic,Yes
159,2021-12-26,57,FR,insta_ads,,0
160,2024-04-19,67,NL,unknown,BASIC,No
161,2022-08-18,68,DE,LinkedIn Ads,basic,1
162,28/10/2024,31,,unknown,,
163,2021-09-04,37,,linkedin,Pro,No
164,25/01/2024,42,,UNKWN,BASIC,TRUE
165,04/10/2021,59,Germany,Google,Basic,0
166,2024-11-27,66,IT,referral,,0
167,2022-10-25,25,germany,,Basic,1
168,26/05/2023,45,,,,FALSE
169,2021-05-17,63,de,Google,basic,FALSE
170,2022-02-05,38,,,,1
171,01/02/2021,40,,Insta,enterprise,TRUE
172,20/05/2022,49,Germany,linkedin,basic,1
173,2022-03-05,25,IT,google_ads,pro,1
174,27/01/2021,48,PL,insta_ads,pro,0
175,25/07/2020,54,,Google,Basic,1
176,2022-11-04,33,NL,Google,basic,Yes
177,2024-04-26,57,ES,instagram,enterprise,FALSE
178,2022-06-10,59,UK,UNKWN,,FALSE
179,2024-01-24,44,NL,google_ads,,TRUE
180,2024-09-10,57,germany,linkedin,enterprise,FALSE
181,17/05/2024,58,,LinkedIn Ads,starter,TRUE
182,13/05/2022,35,FR,Google,,0
183,12/01/2022,52,DE,,enterprise,TRUE
184,2023-06-18,66,,Google,,FALSE
185,2021-07-17,69,NL,email,,
186,2022-10-17,32,NL,Instagram Ads,,1
187,05/04/2020,,NL,,pro,1
188,2024-10-23,44,Germany,referral,pro,Yes
189,2021-04-29,34,,instagram,Pro,TRUE
190,2023-12-01,57,,unknown,,No
191,2020-08-18,19,UK,,BASIC,No
192,2022-01-18,66,UK,,BASIC,0
193,2024-08-05,67,UK,Google,pro,FALSE
194,09/04/2023,48,PL,,basic,FALSE
195,2021-06-24,,Germany,Insta,pro,No
196,25/11/2022,54,,insta_ads,,Yes
197,08/06/2021,58,ES,,pro,
198,2023-03-29,58,FR,LinkedIn Ads,enterprise,0
199,18/09/2024,51,PL,,,
200,20/06/2023,51,Germany,,,TRUE
201,14/01/2023,68,,instagram,,
202,24/12/2024,,DE,UNKWN,pro,TRUE
203,31/07/2021,,,insta_ads,Basic,0
204,2021-11-12,20,NL,,pro,FALSE
205,2021-07-10,34,UK,unknown,,0
206,2024-05-16,31,NL,google_ads,,
207,2022-10-09,31,Germany,linkedin,basic,FALSE
208,2021-10-07,63,de,linkedin,,
209,2022-03-06,55,germany,Insta,starter,0
210,17/11/2022,52,,Google,basic,1
211,2024-07-01,18,PL,LinkedIn Ads,pro,Yes
212,28/04/2024,,ES,,Basic,TRUE
213,2023-09-25,65,UK,Instagram Ads,Basic,1
214,2024-12-26,46,,,enterprise,No
215,16/09/2023,21,,,starter,1
216,21/07/2024,,DE,,Basic,0
217,09/03/2024,50,,,BASIC,No
218,03/10/2023,34,PL,LinkedIn Ads,BASIC,No
219,2024-02-05,45,FR,,Basic,TRUE
220,2023-06-08,67,,instagram,enterprise,1
221,08/07/2020,43,ES,,basic,TRUE
222,02/06/2023,25,FR,Google,,
223,09/11/2023,51,UK,referral,pro,Yes
224,01/11/2023,,FR,instagram,starter,
225,2023-07-30,35,Germany,UNKWN,BASIC,Yes
226,24/09/2021,48,,,BASIC,Yes
227,19/09/2021,,germany,google_ads,BASIC,Yes
228,30/08/2022,44,FR,Insta,basic,No
229,2024-11-03,33,,,Basic,
230,06/07/2023,,,email,enterprise,0
231,2023-10-14,27,de,instagram,BASIC,Yes
232,2021-12-10,57,ES,,Pro,TRUE
233,19/01/2024,29,de,,starter,0
234,05/12/2023,39,germany,Insta,,
235,2021-10-10,33,,,pro,
236,2020-11-13,29,DE,Google,,1
237,27/08/2024,28,germany,Google,Basic,1
238,2023-06-02,37,,email,,TRUE
239,11/06/2023,68,IT,,pro,FALSE
240,14/11/2021,18,,linkedin,Basic,FALSE
241,2021-10-25,44,,Google,,FALSE
242,29/10/2023,20,PL,google_ads,Basic,FALSE
243,22/08/2024,29,de,instagram,basic,No
244,19/06/2024,47,Germany,linkedin,starter,No
245,2024-02-04,26,DE,LinkedIn Ads,enterprise,1
246,10/06/2023,,,UNKWN,Basic,1
247,2024-09-11,,IT,referral,,No
248,2023-02-10,,germany,Google,,No
249,29/02/2024,54,,,basic,1
250,2021-03-17,18,UK,,basic,TRUE
251,2021-07-17,59,PL,linkedin,,No
252,15/07/2023,66,FR,linkedin,pro,TRUE
253,2024-03-13,21,NL,,,Yes
254,2023-11-10,32,ES,referral,,TRUE
255,11/11/2023,68,,,Pro,TRUE
256,10/02/2023,44,UK,,starter,No
257,2024-06-24,25,de,UNKWN,Pro,Yes
258,2024-07-06,,DE,,Basic,FALSE
259,2022-08-09,,DE,LinkedIn Ads,pro,TRUE
260,09/01/2023,40,,linkedin,,Yes
261,29/11/2021,32,,email,BASIC,Yes
262,22/04/2020,44,,,BASIC,
263,2020-01-02,48,,linkedin,basic,No
264,2021-10-03,56,NL,UNKWN,,Yes
265,07/08/2020,64,DE,,,0
266,08/05/2024,25,Germany,unknown,BASIC,FALSE
267,04/05/2022,47,,Google,basic,No
268,25/10/2024,,de,insta_ads,starter,0
269,02/06/2023,,,Google,basic,TRUE
270,2021-01-19,59,,email,basic,No
271,27/11/2023,35,,Insta,basic,
272,2024-07-19,21,,Google,Basic,TRUE
273,27/02/2023,64,germany,,basic,No
274,12/12/2022,60,DE,Instagram Ads,Pro,
275,2024-09-03,39,,,enterprise,Yes
276,2021-12-30,20,DE,referral,basic,FALSE
277,2024-08-22,32,germany,Google,,No
278,29/09/2024,52,,unknown,basic,0
279,2023-12-10,64,,,,1
280,03/09/2020,55,,,,Yes
281,15/04/2022,50,germany,unknown,,No
282,2024-01-02,31,IT,google_ads,basic,Yes
283,21/07/2020,65,PL,LinkedIn Ads,,1
284,2023-04-22,18,,Instagram Ads,BASIC,0
285,2020-05-02,,PL,UNKWN,enterprise,Yes
286,04/02/2021,66,PL,Google,basic,Yes
287,05/02/2022,43,,LinkedIn Ads,enterprise,No
288,2020-10-20,25,,Instagram Ads,basic,Yes
289,2020-10-06,67,,referral,BASIC,0
290,2022-06-02,33,,unknown,enterprise,No
291,2024-06-21,55,NL,,basic,FALSE
292,16/07/2020,27,DE,google_ads,,1
293,08/09/2022,59,NL,insta_ads,pro,0
294,2024-03-14,54,UK,,Basic,0
295,21/01/2022,43,PL,Insta,starter,TRUE
296,23/05/2020,45,DE,Insta,,1
297,2021-08-31,29,IT,LinkedIn Ads,starter,Yes
298,2023-05-09,37,NL,,,0
299,2023-02-21,66,germany,email,pro,No
300,05/07/2020,31,,google_ads,Basic,TRUE
301,11/09/2023,63,,UNKWN,pro,TRUE
302,08/04/2021,52,,referral,enterprise,
303,04/10/2023,46,NL,instagram,,0
304,29/11/2024,29,DE,unknown,,Yes
305,2021-10-21,69,NL,,,0
306,2022-02-02,35,ES,insta_ads,Pro,TRUE
307,2022-08-12,61,germany,instagram,,No
308,06/02/2021,19,,,enterprise,Yes
309,01/10/2023,19,,Google,BASIC,0
310,14/03/2024,,FR,,basic,1
311,26/05/2020,34,,Instagram Ads,pro,Yes
312,2023-03-17,27,IT,google_ads,,Yes
313,2022-05-13,35,UK,,,TRUE
314,2024-09-30,39,,,Pro,0
315,03/05/2021,36,germany,,,FALSE
316,17/07/2022,,PL,UNKWN,,
317,2024-07-21,,Germany,,BASIC,TRUE
318,04/07/2021,18,de,referral,Pro,0
319,2020-12-03,41,DE,LinkedIn Ads,enterprise,0
320,21/05/2022,,,Instagram Ads,Basic,FALSE
321,02/10/2021,53,,LinkedIn Ads,enterprise,Yes
322,07/12/2024,42,ES,Instagram Ads,,Yes
323,17/04/2021,53,de,unknown,Pro,
324,30/05/2020,,PL,google_ads,Basic,0
325,2023-12-09,48,,referral,Basic,1
326,14/08/2023,48,,Google,Pro,TRUE
327,2024-06-22,19,UK,Instagram Ads,BASIC,1
328,19/09/2020,36,,,Pro,No
329,22/11/2024,,germany,linkedin,,Yes
330,23/05/2020,29,NL,email,,0
331,11/12/2020,27,germany,insta_ads,basic,0
332,2021-09-15,48,germany,email,BASIC,1
333,13/10/2022,62,,Instagram Ads,Basic,No
334,2024-05-14,,,email,BASIC,FALSE
335,30/05/2022,,PL,Google,Basic,TRUE
336,02/01/2020,39,,unknown,BASIC,
337,2022-06-15,40,,,starter,No
338,20/08/2023,69,PL,Google,enterprise,TRUE
339,2020-09-10,40,FR,referral,Basic,Yes
340,2024-08-02,32,Germany,,Basic,0
341,28/03/2021,43,,Instagram Ads,Basic,FALSE
342,2022-11-26,20,de,,Pro,Yes
343,2023-03-29,40,,google_ads,,No
344,2022-10-11,37,NL,,starter,FALSE
345,2020-01-09,,,,,No
346,10/06/2023,62,NL,instagram,BASIC,
347,27/01/2023,57,FR,instagram,,TRUE
348,2024-08-09,,,,basic,Yes
349,26/03/2022,56,,Insta,,TRUE
350,2020-07-26,,,,Basic,FALSE
351,28/02/2023,25,PL,insta_ads,enterprise,1
352,07/02/2021,35,IT,,BASIC,TRUE
353,31/05/2020,58,Germany,instagram,,FALSE
354,2020-02-23,23,,,basic,FALSE
355,17/02/2023,44,FR,,,No
356,2024-08-23,53,,,Pro,TRUE
357,19/09/2021,32,,unknown,basic,Yes
358,2021-08-09,54,NL,insta_ads,,TRUE
359,2024-07-06,,germany,LinkedIn Ads,,No
360,2023-12-14,22,Germany,Google,,FALSE
361,16/12/2023,56,IT,google_ads,pro,Yes
362,2020-04-13,,PL,,enterprise,1
363,10/09/2020,26,FR,email,BASIC,0
364,04/06/2023,24,,google_ads,,Yes
365,2023-02-09,58,PL,referral,BASIC,0
366,24/05/2021,37,FR,Google,,
367,2024-02-05,27,NL,unknown,enterprise,TRUE
368,08/04/2020,,IT,Instagram Ads,starter,Yes
369,2020-06-01,43,FR,UNKWN,pro,
370,02/07/2022,21,,Google,enterprise,TRUE
371,27/05/2022,55,NL,instagram,Basic,Yes
372,03/12/2020,41,FR,Insta,starter,TRUE
373,25/09/2024,31,PL,google_ads,enterprise,0
374,01/04/2022,58,,,BASIC,FALSE
375,2023-04-01,18,germany,UNKWN,starter,FALSE
376,2024-10-09,34,NL,UNKWN,,TRUE
377,14/08/2022,62,,unknown,,TRUE
378,2024-08-31,41,ES,linkedin,BASIC,1
379,2020-06-09,44,ES,Insta,,TRUE
380,22/05/2024,24,,Google,pro,No
381,11/03/2022,26,Germany,Instagram Ads,Basic,0
382,2021-02-01,60,,Insta,,TRUE
383,2023-07-24,52,Germany,,,FALSE
384,2022-03-26,,germany,LinkedIn Ads,,Yes
385,2024-03-07,29,DE,google_ads,basic,
386,2023-11-16,38,ES,referral,,FALSE
387,2023-03-04,20,DE,,Basic,No
388,2023-05-03,32,,Insta,starter,Yes
389,04/02/2021,38,germany,linkedin,Pro,FALSE
390,01/10/2021,27,,Insta,,TRUE
391,22/11/2022,50,,,basic,0
392,18/11/2021,63,IT,Instagram Ads,,TRUE
393,2021-04-04,,,,,Yes
394,12/08/2022,69,ES,referral,enterprise,0
395,2021-04-14,23,PL,,Basic,1
396,2023-10-30,19,germany,,enterprise,No
397,2022-11-11,46,NL,UNKWN,Basic,FALSE
398,19/01/2022,,UK,,,FALSE
399,20/08/2024,57,PL,LinkedIn Ads,starter,No
400,2020-02-07,50,,,Basic,FALSE
401,2020-08-17,,,referral,pro,Yes
402,2023-10-20,21,FR,,,1
403,2021-07-16,,,Insta,starter,Yes
404,13/03/2021,21,ES,,pro,1
405,04/12/2024,46,FR,Google,,0
406,2023-07-30,54,,UNKWN,BASIC,
407,2020-01-27,,ES,,Pro,TRUE
408,13/08/2020,,DE,Instagram Ads,basic,1
409,24/07/2023,,germany,,BASIC,
410,2022-03-08,37,NL,,,1
411,20/06/2024,58,germany,,,1
412,10/10/2020,40,de,Google,,FALSE
413,28/05/2022,62,ES,Google,Pro,1
414,2022-08-17,35,de,google_ads,,No
415,2024-02-13,66,Germany,Insta,starter,TRUE
416,2021-03-28,42,IT,Insta,,
417,2022-10-16,18,germany,google_ads,BASIC,TRUE
418,2022-03-26,,DE,insta_ads,Basic,FALSE
419,20/10/2021,32,NL,Google,,Yes
420,2024-03-19,51,ES,unknown,,No
421,2021-06-30,65,NL,google_ads,starter,Yes
422,30/04/2023,37,Germany,,,1
423,2022-12-08,,FR,referral,BASIC,Yes
424,15/03/2024,54,NL,insta_ads,,No
425,2020-01-17,44,ES,,,
426,2023-04-10,39,de,,Pro,
427,28/05/2023,68,,unknown,pro,FALSE
428,2020-06-06,22,DE,Instagram Ads,Basic,FALSE
429,21/04/2021,51,NL,unknown,Pro,1
430,05/12/2022,56,DE,LinkedIn Ads,starter,No
431,2023-10-28,20,,,pro,FALSE
432,2021-06-01,34,,LinkedIn Ads,Pro,1
433,2020-04-08,,FR,email,enterprise,Yes
434,03/11/2024,41,DE,,starter,No
435,26/11/2022,41,FR,LinkedIn Ads,,FALSE
436,2020-10-06,20,FR,,pro,No
437,2023-10-04,62,IT,Insta,enterprise,FALSE
438,11/05/2021,24,IT,,Pro,0
439,2020-10-28,42,,,pro,FALSE
440,29/06/2020,,UK,instagram,enterprise,No
441,29/08/2021,20,DE,google_ads,starter,
442,27/01/2023,32,NL,,enterprise,
443,30/11/2021,46,DE,Google,BASIC,FALSE
444,19/09/2022,67,FR,referral,,
445,13/02/2023,46,IT,email,,Yes
446,09/07/2020,27,,Google,starter,
447,09/09/2020,49,PL,instagram,starter,1
448,07/09/2022,40,de,linkedin,basic,0
449,16/07/2022,56,,referral,,TRUE
450,30/03/2023,26,DE,UNKWN,pro,No
451,03/07/2023,54,germany,,,No
452,08/09/2023,69,,,BASIC,1
453,2020-05-07,57,,insta_ads,pro,Yes
454,2020-01-18,31,germany,,starter,TRUE
455,2024-12-21,21,UK,instagram,enterprise,Yes
456,24/10/2024,37,,unknown,,
457,19/07/2021,45,ES,Google,pro,No
458,23/07/2021,31,DE,,Basic,TRUE
459,08/09/2023,61,,UNKWN,Pro,FALSE
460,2021-11-16,51,DE,,starter,0
461,2024-12-20,30,Germany,referral,Pro,No
462,2021-09-17,48,FR,UNKWN,basic,Yes
463,2023-08-04,50,,google_ads,basic,1
464,2022-05-03,69,ES,UNKWN,starter,FALSE
465,13/08/2024,56,FR,instagram,enterprise,TRUE
466,2022-08-19,45,,Insta,enterprise,No
467,2024-07-20,42,,insta_ads,basic,1
468,03/06/2020,49,,UNKWN,pro,1
469,04/05/2021,26,FR,,Pro,
470,2023-11-10,45,NL,linkedin,pro,Yes
471,2022-02-23,,de,Instagram Ads,enterprise,
472,01/02/2023,48,,UNKWN,Pro,0
473,2023-11-17,34,,LinkedIn Ads,pro,1
474,2020-09-02,,DE,instagram,pro,Yes
475,2023-04-14,40,ES,google_ads,,TRUE
476,28/11/2022,30,NL,instagram,BASIC,No
477,09/02/2024,,IT,,,TRUE
478,01/09/2024,27,PL,,Basic,
479,28/01/2022,33,FR,,,0
480,21/06/2021,23,UK,Instagram Ads,enterprise,Yes
481,2022-07-09,65,germany,,Pro,TRUE
482,2021-02-11,28,ES,UNKWN,,No
483,2021-06-08,,Germany,LinkedIn Ads,,No
484,07/04/2022,69,DE,,Pro,1
485,09/03/2024,20,,UNKWN,Basic,0
486,21/06/2022,45,germany,Google,,Yes
487,2020-02-05,,NL,,starter,TRUE
488,15/11/2021,58,germany,linkedin,BASIC,1
489,20/01/2020,32,DE,google_ads,BASIC,1
490,16/11/2020,,,,pro,TRUE
491,2024-12-04,30,germany,UNKWN,,Yes
492,2021-05-26,59,IT,unknown,basic,Yes
493,2021-02-03,69,Germany,Instagram Ads,,
494,2021-10-15,,UK,,starter,
495,2022-08-29,62,ES,LinkedIn Ads,enterprise,
496,15/04/2021,34,,linkedin,enterprise,0
497,2023-03-12,24,,,enterprise,No
498,2023-01-20,45,DE,insta_ads,pro,Yes
499,2023-10-09,55,,,starter,1
500,2022-04-13,30,germany,,starter,No
501,28/12/2024,,Germany,linkedin,pro,
502,2021-12-27,34,,,Pro,FALSE
503,2022-05-03,32,DE,,,No
504,20/02/2020,53,Germany,linkedin,enterprise,1
505,2024-08-15,45,,Instagram Ads,pro,0
506,17/09/2024,32,germany,email,,TRUE
507,2021-07-28,63,FR,,,TRUE
508,2023-04-28,,ES,Instagram Ads,basic,
509,2023-02-22,28,de,LinkedIn Ads,pro,0
510,2020-05-29,,de,insta_ads,Basic,0
511,2020-11-09,48,ES,email,starter,TRUE
512,2021-07-23,21,FR,LinkedIn Ads,enterprise,
513,27/09/2023,52,DE,UNKWN,,1
514,2020-10-31,51,Germany,,Pro,0
515,11/09/2024,69,,referral,enterprise,No
516,12/11/2021,44,FR,,BASIC,TRUE
517,2022-04-17,27,,unknown,pro,Yes
518,2024-12-11,47,,referral,Pro,FALSE
519,2022-12-13,62,,,Pro,TRUE
520,29/09/2022,37,,Insta,Pro,
521,19/03/2021,46,de,instagram,,0
522,2021-09-04,,DE,instagram,Pro,
523,19/09/2022,,NL,,Basic,TRUE
524,20/09/2020,46,,referral,,FALSE
525,12/12/2022,40,FR,referral,starter,Yes
526,14/05/2024,,de,linkedin,enterprise,FALSE
527,30/09/2022,67,UK,linkedin,Pro,TRUE
528,2024-07-01,38,germany,instagram,,TRUE
529,2020-01-05,65,Germany,,,No
530,2023-01-31,60,IT,google_ads,BASIC,
531,2023-05-04,27,DE,insta_ads,,0
532,12/02/2022,58,,,pro,1
533,26/05/2022,29,UK,UNKWN,Pro,No
534,2022-09-18,47,,google_ads,BASIC,
535,02/06/2022,,,google_ads,BASIC,No
536,05/10/2023,68,germany,Insta,enterprise,No
537,2020-02-16,50,IT,Google,Pro,No
538,16/05/2022,35,,linkedin,Basic,No
539,02/04/2022,31,UK,instagram,,Yes
540,2022-07-24,39,,insta_ads,,
541,17/10/2021,38,FR,Insta,pro,0
542,25/09/2020,18,germany,referral,enterprise,1
543,2021-01-04,66,germany,unknown,BASIC,1
544,2021-09-27,60,,,,0
545,2023-02-03,69,,,pro,1
546,20/08/2024,,,unknown,BASIC,Yes
547,09/08/2024,32,de,unknown,BASIC,Yes
548,2021-10-18,53,PL,instagram,basic,0
549,29/04/2020,64,,google_ads,BASIC,Yes
550,2022-04-10,,germany,Insta,enterprise,TRUE
551,15/12/2024,39,de,linkedin,,1
552,15/06/2024,49,NL,unknown,basic,FALSE
553,2022-12-17,,,unknown,starter,No
554,01/10/2023,63,,,,
555,10/01/2022,,,Instagram Ads,enterprise,TRUE
556,06/02/2024,50,,instagram,Pro,TRUE
557,2020-04-26,,UK,UNKWN,starter,No
558,01/03/2022,58,,referral,BASIC,TRUE
559,24/02/2023,,IT,LinkedIn Ads,Pro,Yes
560,2023-11-17,56,,insta_ads,starter,TRUE
561,2022-10-09,40,Germany,linkedin,pro,
562,2024-07-22,60,,unknown,Basic,1
563,17/12/2022,,IT,linkedin,,
564,2021-09-25,19,DE,linkedin,Basic,1
565,27/05/2021,19,,email,starter,
566,09/11/2024,55,DE,insta_ads,,0
567,2022-03-12,,germany,unknown,enterprise,0
568,24/01/2023,68,germany,,starter,FALSE
569,19/07/2024,46,germany,LinkedIn Ads,,1
570,15/02/2023,69,NL,Insta,Pro,No
571,13/07/2021,63,ES,instagram,,
572,2024-06-12,,Germany,,starter,No
573,02/05/2021,20,ES,Instagram Ads,pro,1
574,14/06/2023,56,de,email,starter,Yes
575,2022-06-15,24,de,LinkedIn Ads,enterprise,
576,19/07/2023,53,IT,instagram,starter,1
577,27/04/2023,46,,LinkedIn Ads,pro,Yes
578,2021-12-04,,Germany,google_ads,,0
579,2024-01-10,54,IT,instagram,,No
580,03/08/2021,66,Germany,linkedin,Basic,1
581,2022-02-28,,,,enterprise,0
582,10/05/2022,53,,linkedin,Basic,FALSE
583,03/09/2020,40,de,instagram,,No
584,2023-01-04,62,germany,email,BASIC,FALSE
585,02/06/2020,33,,instagram,basic,No
586,2024-08-06,65,germany,UNKWN,Basic,TRUE
587,2023-12-29,48,Germany,linkedin,BASIC,0
588,23/09/2022,51,NL,email,pro,TRUE
589,2023-01-14,67,ES,google_ads,Pro,TRUE
590,2021-11-27,18,FR,UNKWN,enterprise,FALSE
591,01/08/2023,35,,Insta,pro,Yes
592,2023-05-28,,,email,pro,
593,2022-12-28,,,instagram,,No
594,06/12/2022,57,ES,referral,basic,TRUE
595,2022-10-05,60,,,,FALSE
596,03/04/2020,,,,BASIC,No
597,08/11/2024,,PL,linkedin,Pro,TRUE
598,2022-08-15,32,FR,UNKWN,starter,
599,2022-10-08,65,,Google,Basic,TRUE
600,28/03/2021,66,,,Pro,TRUE
601,2023-05-12,34,,LinkedIn Ads,,
602,30/06/2022,61,germany,Insta,,FALSE
603,2020-08-05,27,IT,referral,starter,Yes
